id,label,timeset,grain for green,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,diverging incentives for afforestation from carbon sequestration: an economic analysis of the eu afforestation program in the south of italy,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
33.0,sohi (2012),,,13.0,96.0,7.0,http://dx.doi.org/10.1126/science.1225987,2012.0,3.8766,,3.8766,23.0,96.0,"<table><tr><td>Authors:</td><td>sohi, sp</td></tr><tr><td>Title:</td><td>carbon storage with benefits</td></tr><tr><td>Source:</td><td>science, 338(6110), 1034-1035</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
34.0,bayer (2012),,,86.0,18.0,1.0,http://dx.doi.org/10.1007/s11104-012-1244-1,2012.0,0.7269,,0.7269,167.0,18.0,"<table><tr><td>Authors:</td><td>bayer, c; de moraes, a; dieckow, j; pauletti, v; pergher, m; piva, jt; tomazi, m; zanatta, ja</td></tr><tr><td>Title:</td><td>no-till reduces global warming potential in a subtropical ferralsol</td></tr><tr><td>Source:</td><td>plant and soil, 361(1-2), 359-373</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
36.0,barreiro-hurle (2012),,,38.0,13.0,1.0,http://dx.doi.org/10.1016/j.jenvman.2012.08.004,2012.0,0.525,,0.525,49.0,13.0,"<table><tr><td>Authors:</td><td>barreiro-hurle, j; castro-rodriguez, j; espinosa-goded, m; gomez-limon, ja; rodriguez-entrena, m</td></tr><tr><td>Title:</td><td>evaluating the demand for carbon sequestration in olive grove soils as a strategy toward mitigating climate change</td></tr><tr><td>Source:</td><td>journal of environmental management, 112, 368-376</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
37.0,buchmann (2012),,,158.0,123.0,1.0,http://dx.doi.org/10.1073/pnas.1209429109,2012.0,4.9669,,4.9669,230.0,123.0,"<table><tr><td>Authors:</td><td>buchmann, n; fliessbach, a; gattinger, a; haeni, m; mader, p; muller, a; niggli, u; scialabba, neh; skinner, c; smith, p; stolze, m</td></tr><tr><td>Title:</td><td>enhanced top soil carbon stocks under organic farming</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america, 109(44), 18226-18231</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
40.0,didas (2012),,,44.0,79.0,4.0,http://dx.doi.org/10.1002/cssc.201200196,2012.0,3.1901,,3.1901,329.0,79.0,"<table><tr><td>Authors:</td><td>didas, sa; jones, cw; kulkarni, ar; sholl, ds</td></tr><tr><td>Title:</td><td>role of amine structure on carbon dioxide adsorption from ultradilute gas streams such as ambient air</td></tr><tr><td>Source:</td><td>chemsuschem, 5(10), 2058-2064</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
41.0,martinez (2012),,,7.0,3.0,4.0,http://dx.doi.org/10.1016/j.ijhydene.2012.08.002,2012.0,0.1211,,0.1211,26.0,3.0,"<table><tr><td>Authors:</td><td>martinez, a; proll, t; romeo, lm</td></tr><tr><td>Title:</td><td>lime enhanced biomass gasification. energy penalty reduction by solids preheating in the calciner</td></tr><tr><td>Source:</td><td>international journal of hydrogen energy, 37(20), 15086-15095</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
42.0,renforth (2012),,,64.0,28.0,4.0,http://dx.doi.org/10.1016/j.ijggc.2012.06.011,2012.0,1.1307,,1.1307,110.0,28.0,"<table><tr><td>Authors:</td><td>renforth, p</td></tr><tr><td>Title:</td><td>the potential of enhanced weathering in the uk</td></tr><tr><td>Source:</td><td>international journal of greenhouse gas control, 10, 229-243</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
43.0,kim (2012),,,97.0,7.0,1.0,http://dx.doi.org/10.1007/s10457-011-9477-1,2012.0,0.2827,,0.2827,117.0,7.0,"<table><tr><td>Authors:</td><td>kim, dg</td></tr><tr><td>Title:</td><td>estimation of net gain of soil carbon in a nitrogen-fixing tree and crop intercropping system in sub-saharan africa: results from re-examining a study</td></tr><tr><td>Source:</td><td>agroforestry systems, 86(2), 175-184</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
44.0,ausseil (2012),,,39.0,13.0,3.0,http://dx.doi.org/10.1016/j.biocon.2012.05.019,2012.0,0.525,,0.525,41.0,13.0,"<table><tr><td>Authors:</td><td>ausseil, age; carswell, fe; dymond, jr; mason, nwh; overton, jm; price, r</td></tr><tr><td>Title:</td><td>will use of non-biodiversity objectives to select areas for ecological restoration always compromise biodiversity gains?</td></tr><tr><td>Source:</td><td>biological conservation, 155, 157-168</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
45.0,bryan (2012),,,68.0,23.0,2.0,http://dx.doi.org/10.5751/es-04959-170321,2012.0,0.9288,,0.9288,102.0,23.0,"<table><tr><td>Authors:</td><td>bryan, ba; paterson, s</td></tr><tr><td>Title:</td><td>food-carbon trade-offs between agriculture and reforestation land uses under alternate market-based policies</td></tr><tr><td>Source:</td><td>ecology and society, 17(3)</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
