id,label,timeset,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
103.0,niskanen (1998),,7.0,12.0,4.0,http://dx.doi.org/10.1016/s0921-8009(97)00121-3,1998.0,0.2093,0.2093,7.0,12.0,"<table><tr><td>Authors:</td><td>niskanen, a</td></tr><tr><td>Title:</td><td>value of external environmental impacts of reforestation in thailand</td></tr><tr><td>Source:</td><td>ecological economics, 26(3), 287-297</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"
120.0,kheshgi (1995),,4.0,64.0,4.0,http://dx.doi.org/10.1016/0360-5442(95)00035-f,1995.0,2.1719,2.1719,5.0,64.0,"<table><tr><td>Authors:</td><td>kheshgi, hs</td></tr><tr><td>Title:</td><td>sequestering atmospheric carbon-dioxide by increasing ocean alkalinity</td></tr><tr><td>Source:</td><td>energy, 20(9), 915-922</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
122.0,kurz (1993),,29.0,36.0,3.0,http://dx.doi.org/10.1029/92gb02910,1993.0,1.2414,1.2414,40.0,36.0,"<table><tr><td>Authors:</td><td>kurz, kd; maierreimer, e</td></tr><tr><td>Title:</td><td>iron fertilization of the austral ocean - the hamburg model assessment</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 7(1), 229-244</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
123.0,grubler (1993),,42.0,29.0,4.0,http://dx.doi.org/10.1016/0360-5442(93)90019-a,1993.0,1.0,1.0,74.0,29.0,"<table><tr><td>Authors:</td><td>grubler, a; inaba, a; messner, s; nakicenovic, n; nilsson, s; nishimura, y; rogner, hh; schafer, a; schrattenholzer, l; strubegger, m; swisher, j; victor, d; wilson, d</td></tr><tr><td>Title:</td><td>long-term strategies for mitigating global warming</td></tr><tr><td>Source:</td><td>energy, 18(5), 401</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
125.0,ladd (1991),,21.0,21.0,2.0,http://dx.doi.org/10.1007/bf00140167,1991.0,0.8221,0.8221,33.0,21.0,"<table><tr><td>Authors:</td><td>ladd, l; schroeder, p</td></tr><tr><td>Title:</td><td>slowing the increase of atmospheric carbon-dioxide - a biological approach</td></tr><tr><td>Source:</td><td>climatic change, 19(3), 283-290</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"
132.0,gao (2004),,6.0,40.0,5.0,http://dx.doi.org/10.1016/j.renene.2004.01.003,2004.0,0.3571,0.3571,11.0,40.0,"<table><tr><td>Authors:</td><td>gao, l; mollersten, k; obersteiner, m; yan, jy</td></tr><tr><td>Title:</td><td>efficient energy systems with co2 capture and storage from renewable biomass in pulp and paper mills</td></tr><tr><td>Source:</td><td>renewable energy, 29(9), 1583-1598</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
133.0,takeda (2002),,25.0,1.0,3.0,,2002.0,0.026,0.026,81.0,1.0,"<table><tr><td>Authors:</td><td>takeda, s</td></tr><tr><td>Title:</td><td>towards the enhancement of biological production in the oceans</td></tr><tr><td>Source:</td><td>fisheries science, 68, 20-24</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
134.0,madsen (2002),,3.0,44.0,5.0,http://dx.doi.org/10.1080/11263500212331351049,2002.0,1.1443,1.1443,3.0,44.0,"<table><tr><td>Authors:</td><td>madsen, p; stanturf, ja</td></tr><tr><td>Title:</td><td>restoration concepts for temperate and boreal forests of north america and western europe</td></tr><tr><td>Source:</td><td>plant biosystems, 136(2), 143-158</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
135.0,kraxner (2003),,16.0,31.0,5.0,http://dx.doi.org/10.1016/s0961-9534(02)00172-1,2003.0,0.3909,0.3909,17.0,31.0,"<table><tr><td>Authors:</td><td>kraxner, f; nilsson, s; obersteiner, m</td></tr><tr><td>Title:</td><td>negative emissions from bioenergy use, carbon capture and sequestration (becs) - the case of biomass production by sustainable forest management from semi-natural temperate forests</td></tr><tr><td>Source:</td><td>biomass & bioenergy, 24(4-5), 285-296</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
140.0,coleman (2000),,33.0,233.0,1.0,http://dx.doi.org/10.1046/j.1365-2486.2000.00331.x,2000.0,1.6581,1.6581,70.0,233.0,"<table><tr><td>Authors:</td><td>coleman, k; falloon, p; powlson, ds; smith, ju; smith, p</td></tr><tr><td>Title:</td><td>meeting europe's climate change commitments: quantitative estimates of the potential for carbon mitigation by agriculture</td></tr><tr><td>Source:</td><td>global change biology, 6(5), 525-539</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
142.0,adams (1997),,16.0,2.0,6.0,,1997.0,0.0549,0.0549,26.0,2.0,"<table><tr><td>Authors:</td><td>adams, d; alig, r; callaway, jm; mccarl, b; winnett, s</td></tr><tr><td>Title:</td><td>assessing effects of mitigation strategies for global climate change with an intertemporal model of the us forest and agriculture sectors</td></tr><tr><td>Source:</td><td>critical reviews in environmental science and technology, 27, s97-s111</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"
158.0,andrasko (1994),,60.0,48.0,2.0,http://dx.doi.org/10.1007/bf01098474,1994.0,0.4706,0.4706,123.0,48.0,"<table><tr><td>Authors:</td><td>andrasko, kj; dixon, rk; lee, jj; schroeder, pe; winjum, jk</td></tr><tr><td>Title:</td><td>integrated land-use systems - assessment of promising agroforest and alternative land-use practices to enhance carbon conservation and sequestration</td></tr><tr><td>Source:</td><td>climatic change, 27(1), 71-92</td></tr><tr><td>Year:</td><td>1994</td></tr></table>"
160.0,ketoff (1995),,39.0,4.0,2.0,http://dx.doi.org/10.1016/0961-9534(95)00044-5,1995.0,0.1357,0.1357,87.0,4.0,"<table><tr><td>Authors:</td><td>ketoff, a; makundi, wr; sathaye, j</td></tr><tr><td>Title:</td><td>copath - a spreadsheet model for the estimation of carbon flows associated with the use of forest resources</td></tr><tr><td>Source:</td><td>biomass & bioenergy, 8(5), 369-380</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
161.0,brunnert (1996),,53.0,3.0,2.0,,1996.0,0.1944,0.1944,95.0,3.0,"<table><tr><td>Authors:</td><td>brunnert, h</td></tr><tr><td>Title:</td><td>the significance of agriculture and forestry for the global carbon cycle. how can they contribute to sequester increasing amounts of co2 in the atmosphere</td></tr><tr><td>Source:</td><td>berichte uber landwirtschaft, 74(1), 44-65</td></tr><tr><td>Year:</td><td>1996</td></tr></table>"
162.0,mauldin (1999),,21.0,102.0,6.0,http://dx.doi.org/10.2307/1244326,1999.0,2.6642,2.6642,63.0,102.0,"<table><tr><td>Authors:</td><td>mauldin, t; miller, dj; plantinga, aj</td></tr><tr><td>Title:</td><td>an econometric analysis of the costs of sequestering carbon in forests</td></tr><tr><td>Source:</td><td>american journal of agricultural economics, 81(4), 812-824</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"
163.0,xu (1995),,1.0,28.0,4.0,http://dx.doi.org/10.1016/0961-9534(95)00026-7,1995.0,0.9502,0.9502,1.0,28.0,"<table><tr><td>Authors:</td><td>xu, dy</td></tr><tr><td>Title:</td><td>the potential for reducing atmospheric carbon by large-scale afforestation in china and related cost/benefit analysis</td></tr><tr><td>Source:</td><td>biomass & bioenergy, 8(5), 337-344</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
164.0,boyd (2001),,27.0,36.0,3.0,http://dx.doi.org/10.1016/s0967-0645(01)00016-9,2001.0,0.6253,0.6253,122.0,36.0,"<table><tr><td>Authors:</td><td>boyd, pw; hannon, e; lancelot, c; silvoso, m</td></tr><tr><td>Title:</td><td>modeling the bloom evolution and carbon flows during soiree: implications for future in situ iron-enrichments in the southern ocean</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 48(11-12), 2745-2773</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
