id,label,timeset,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
94.0,brown (2002),,47.0,91.0,1.0,http://dx.doi.org/10.1098/rsta.2002.1020,2002.0,1.8885,1.8885,64.0,91.0,"<table><tr><td>Authors:</td><td>brown, s; malhi, y; meir, p</td></tr><tr><td>Title:</td><td>forests, carbon and global climate</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society of london series a-mathematical physical and engineering sciences, 360(1797), 1567-1591</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
95.0,hall (2001),,50.0,75.0,2.0,http://dx.doi.org/10.1016/s0967-0645(01)00010-8,2001.0,1.1006,1.1006,244.0,75.0,"<table><tr><td>Authors:</td><td>hall, ja; safi, k</td></tr><tr><td>Title:</td><td>the impact of in situ fe fertilisation on the microbial food web in the southern ocean</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 48(11-12), 2591-2613</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
96.0,boyd (2001),,53.0,68.0,2.0,http://dx.doi.org/10.1016/s0967-0645(01)00009-1,2001.0,0.9979,0.9979,355.0,68.0,"<table><tr><td>Authors:</td><td>boyd, pw; gall, mp; maldonado, m; strzepek, r</td></tr><tr><td>Title:</td><td>phytoplankton processes. part 2. rates of primary production and factors controlling algal growth during the southern ocean iron release experiment (soiree)</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 48(11-12), 2571-2590</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
97.0,boyd (2001),,58.0,71.0,2.0,http://dx.doi.org/10.1016/s0967-0645(01)00002-9,2001.0,1.0419,1.0419,372.0,71.0,"<table><tr><td>Authors:</td><td>boyd, pw; law, cs</td></tr><tr><td>Title:</td><td>the southern ocean iron release experiment (soiree) - introduction and summary</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 48(11-12), 2425-2438</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
98.0,mosnaim (2001),,4.0,4.0,3.0,http://dx.doi.org/10.1016/s0301-4215(00)00160-9,2001.0,0.0587,0.0587,7.0,4.0,"<table><tr><td>Authors:</td><td>mosnaim, a</td></tr><tr><td>Title:</td><td>estimating co2 abatement and sequestration potentials for chile</td></tr><tr><td>Source:</td><td>energy policy, 29(8), 631-640</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
99.0,bidigare (2000),,46.0,79.0,2.0,http://dx.doi.org/10.3354/meps201027,2000.0,0.4698,0.4698,180.0,79.0,"<table><tr><td>Authors:</td><td>bidigare, rr; brown, sl; coale, kh; constantinou, j; fitzwater, s; landry, mr; ondrusek, me; tanner, sj</td></tr><tr><td>Title:</td><td>biological response to iron fertilization in the eastern equatorial pacific (ironex ii). i. microplankton community abundances and biomass</td></tr><tr><td>Source:</td><td>marine ecology progress series, 201, 27-42</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
100.0,hillel (2000),,49.0,40.0,3.0,http://dx.doi.org/10.1097/00010694-200001000-00007,2000.0,0.2379,0.2379,60.0,40.0,"<table><tr><td>Authors:</td><td>hillel, d; rosenzweig, c</td></tr><tr><td>Title:</td><td>soils and global climate change: challenges and opportunities</td></tr><tr><td>Source:</td><td>soil science, 165(1), 47-56</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
101.0,caldeira (2000),,8.0,57.0,5.0,http://dx.doi.org/10.1029/1999gl002364,2000.0,0.339,0.339,16.0,57.0,"<table><tr><td>Authors:</td><td>caldeira, k; rau, gh</td></tr><tr><td>Title:</td><td>accelerating carbonate dissolution to sequester carbon dioxide in the ocean: geochemical implications</td></tr><tr><td>Source:</td><td>geophysical research letters, 27(2), 225-228</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
102.0,caldeira (1999),,5.0,44.0,5.0,http://dx.doi.org/10.1016/s0196-8904(99)00071-0,1999.0,0.8996,0.8996,11.0,44.0,"<table><tr><td>Authors:</td><td>caldeira, k; rau, gh</td></tr><tr><td>Title:</td><td>enhanced carbonate dissolution: a means of sequestering waste co2 as ocean bicarbonate</td></tr><tr><td>Source:</td><td>energy conversion and management, 40(17), 1803-1813</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"
103.0,niskanen (1998),,9.0,12.0,4.0,http://dx.doi.org/10.1016/s0921-8009(97)00121-3,1998.0,0.2093,0.2093,12.0,12.0,"<table><tr><td>Authors:</td><td>niskanen, a</td></tr><tr><td>Title:</td><td>value of external environmental impacts of reforestation in thailand</td></tr><tr><td>Source:</td><td>ecological economics, 26(3), 287-297</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"
104.0,unruh,,9.0,0.0,4.0,,-1.0,1.0,1.0,102.0,0.0,"<table><tr><td>Authors:</td><td>unruh, j, d.</td></tr></table>"
105.0,audus,,1.0,0.0,5.0,,-1.0,1.0,1.0,1.0,0.0,"<table><tr><td>Authors:</td><td>audus, h.; freund, p.</td></tr></table>"
107.0,chang,,1.0,0.0,4.0,,-1.0,1.0,1.0,2.0,0.0,"<table><tr><td>Authors:</td><td>chang, c.-c.</td></tr></table>"
108.0,chen,,9.0,0.0,4.0,,-1.0,1.0,1.0,11.0,0.0,"<table><tr><td>Authors:</td><td>chen, g.; yang, y.; yu, z.</td></tr></table>"
109.0,baumgartner,,11.0,0.0,4.0,,-1.0,1.0,1.0,11.0,0.0,"<table><tr><td>Authors:</td><td>baumgartner, a.</td></tr></table>"
110.0,adegbulugbe,,1.0,0.0,4.0,,-1.0,1.0,1.0,1.0,0.0,"<table><tr><td>Authors:</td><td>adegbulugbe, a, o.; adesina, f, a.; ojo, l, o.; oketola, f, o.; pelemo, d, a.; siyanbola, w, o.</td></tr></table>"
111.0,cerÃ³n,,4.0,0.0,4.0,,-1.0,1.0,1.0,5.0,0.0,"<table><tr><td>Authors:</td><td>cerÃ³n, a, d.; masera, o, r.; ordÃ³Ã±ez, a.</td></tr></table>"
112.0,rao,,6.0,0.0,4.0,,-1.0,1.0,1.0,9.0,0.0,"<table><tr><td>Authors:</td><td>rao, s.; ravindranath, n, h.; sudha, p.</td></tr></table>"
113.0,rykowski,,12.0,0.0,4.0,,-1.0,1.0,1.0,21.0,0.0,"<table><tr><td>Authors:</td><td>rykowski, k.</td></tr></table>"
114.0,lee,,19.0,0.0,4.0,,-1.0,1.0,1.0,24.0,0.0,"<table><tr><td>Authors:</td><td>lee, j, j.</td></tr></table>"
115.0,rantala,,7.0,0.0,4.0,,-1.0,1.0,1.0,13.0,0.0,"<table><tr><td>Authors:</td><td>rantala, t.</td></tr></table>"
117.0,maclaren,,1.0,0.0,4.0,,-1.0,1.0,1.0,1.0,0.0,"<table><tr><td>Authors:</td><td>maclaren, p.</td></tr></table>"
118.0,alig,,7.0,0.0,4.0,,-1.0,1.0,1.0,10.0,0.0,"<table><tr><td>Authors:</td><td>alig, r.</td></tr></table>"
120.0,kheshgi (1995),,7.0,64.0,5.0,http://dx.doi.org/10.1016/0360-5442(95)00035-f,1995.0,1.8824,1.8824,9.0,64.0,"<table><tr><td>Authors:</td><td>kheshgi, hs</td></tr><tr><td>Title:</td><td>sequestering atmospheric carbon-dioxide by increasing ocean alkalinity</td></tr><tr><td>Source:</td><td>energy, 20(9), 915-922</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
