au	py	ti	section	db	full-text
Tschakert P 	2015	1.5°C or 2°C: a conduit’s view from the science-policy interface at COP20 in Lima, Peru. 	Governance, policy and regulation	not found	Tschakert P (2015) 1.5°C or 2°C: a conduit’s view from the science-policy interface at COP20 in Lima, Peru. <i>Climate </i>
UNEP (United Nations Environment Programme) 	2014	The Emissions Gap Report 2014	Governance, policy and regulation	not found	UNEP (United Nations Environment Programme) (2014) <i>The Emissions Gap Report 2014</i>. UNEP, Nairobi. 57 
UNEP (United Nations Environment Programme) 	2015	The Emissions Gap Report 2015	Governance, policy and regulation	not found	UNEP (United Nations Environment Programme) (2015) <i>The Emissions Gap Report 2015</i>. UNEP, Nairobi. 74 pp. 
UNFCCC (United Nations Framework Convention on Climate Change) 	2015	Report on the Structured Expert Dialogue 	Governance, policy and regulation	not found	UNFCCC (United Nations Framework Convention on Climate Change) (2015) <i>Report on the Structured Expert Dialogue </i>
UNFCCC (United Nations Framework Convention on Climate Change) 	2015	Adoption of the Paris Agreement. 	Governance, policy and regulation	not found	UNFCCC (United Nations Framework Convention on Climate Change) (2015) <i>Adoption of the Paris Agreement. </i>21st 
Warren R, Arnel  N, Brown S, Kjel strom T et al. 	2014	Post-IPCC Assessment of Climate Impacts using Existing 	Governance, policy and regulation	not found	Warren R, Arnel  N, Brown S, Kjel strom T et al. (2014) <i>Post-IPCC Assessment of Climate Impacts using Existing </i>
Wol enberg E, Richards M, Smith P, Havlík P et al. 	2016	Reducing emissions from agriculture to meet the 2°C target. 	Governance, policy and regulation	not found	Wol enberg E, Richards M, Smith P, Havlík P et al. (2016) Reducing emissions from agriculture to meet the 2°C target. 
Lefale PF &amp; Anderson CL 	2014	Climate Engineering and Small Island States: Panacea or Catastrophe? Opinion Article, 6 May, 2014, 79Twww.geoengineeringourclimate.com79T.	Governance, policy and regulation	not found	<li><a href="Bibliography for GGR 2014-16 (v2) 20 Oct 2016s.html#3">Lefale PF &amp; Anderson CL (2014) Climate Engineering and Small Island States: Panacea or Catastrophe? Opinion Article, 6 May, 2014, 79Twww.geoengineeringourclimate.com79T.</a>

Pereira JC 	2016	Geoengineering, scientific community, and policymakers: A new proposal for the categorization of responses to anthropogenic climate change. SAGE Open, 6(1), 2158244016628591; doi: 10.1177/2158244016628591	Governance, policy and regulation	not found	<li><a href="Bibliography for GGR 2014-16 (v2) 20 Oct 2016s.html#16">Pereira JC (2016) Geoengineering, scientific community, and policymakers: A new proposal for the categorization of responses to anthropogenic climate change. SAGE Open, 6(1), 2158244016628591; doi: 10.1177/2158244016628591</a></li>

